year,state,candidate,party
2000,Hawaii,"Bush, George W.",republican
2000,Idaho,"Bush, George W.",republican
2000,Illinois,"Bush, George W.",republican
2000,Indiana,"Bush, George W.",republican
2000,Iowa,"Bush, George W.",republican
2000,Kansas,"Bush, George W.",republican
2000,Kentucky,"Bush, George W.",republican
2000,Louisiana,"Bush, George W.",republican
2000,Maine,"Bush, George W.",republican
2000,Maryland,"Bush, George W.",republican
2000,Massachusetts,"Bush, George W.",republican
2000,Michigan,"Bush, George W.",republican
2000,Minnesota,"Bush, George W.",republican
2000,Mississippi,"Bush, George W.",republican
2000,Missouri,"Bush, George W.",republican
2000,Montana,"Bush, George W.",republican
2000,Nebraska,"Bush, George W.",republican
2000,Nevada,"Bush, George W.",republican
2000,New Hampshire,"Bush, George W.",republican
2000,New Jersey,"Bush, George W.",republican
2000,New Mexico,"Bush, George W.",republican
2000,New York,"Bush, George W.",republican
2000,New York,"Bush, George W.",republican
2000,North Carolina,"Bush, George W.",republican
2000,North Dakota,"Bush, George W.",republican
2000,Ohio,"Bush, George W.",republican
2000,Oklahoma,"Bush, George W.",republican
2000,Oregon,"Bush, George W.",republican
2000,Pennsylvania,"Bush, George W.",republican
2000,Rhode Island,"Bush, George W.",republican
2000,South Carolina,"Bush, George W.",republican
2000,South Dakota,"Bush, George W.",republican
2000,Tennessee,"Bush, George W.",republican
2000,Texas,"Bush, George W.",republican
2000,Utah,"Bush, George W.",republican
2000,Vermont,"Bush, George W.",republican
2000,Virginia,"Bush, George W.",republican
2000,Washington,"Bush, George W.",republican
2000,West Virginia,"Bush, George W.",republican
2000,Wisconsin,"Bush, George W.",republican
2000,Wyoming,"Bush, George W.",republican
2004,Alabama,"Bush, George W.",republican
2004,Alaska,"Bush, George W.",republican
2004,Arizona,"Bush, George W.",republican
2004,Arkansas,"Bush, George W.",republican
2004,California,"Bush, George W.",republican
2004,Colorado,"Bush, George W.",republican
2004,Connecticut,"Bush, George W.",republican
2004,Delaware,"Bush, George W.",republican
2004,District of Columbia,"Bush, George W.",republican
2004,Florida,"Bush, George W.",republican
2004,Georgia,"Bush, George W.",republican
2004,Hawaii,"Bush, George W.",republican
2004,Idaho,"Bush, George W.",republican
2004,Illinois,"Bush, George W.",republican
2004,Indiana,"Bush, George W.",republican
2004,Iowa,"Bush, George W.",republican
2004,Kansas,"Bush, George W.",republican
2004,Kentucky,"Bush, George W.",republican
2004,Louisiana,"Bush, George W.",republican
2004,Maine,"Bush, George W.",republican
2004,Maryland,"Bush, George W.",republican
2004,Massachusetts,"Bush, George W.",republican
2004,Michigan,"Bush, George W.",republican
2004,Minnesota,"Bush, George W.",republican
2004,Mississippi,"Bush, George W.",republican
2004,Missouri,"Bush, George W.",republican
2004,Montana,"Bush, George W.",republican
2004,Nebraska,"Bush, George W.",republican
2004,Nevada,"Bush, George W.",republican
2004,New Hampshire,"Bush, George W.",republican
2004,New Jersey,"Bush, George W.",republican
2004,New Mexico,"Bush, George W.",republican
2004,New York,"Bush, George W.",republican
2004,New York,"Bush, George W.",republican
2004,North Carolina,"Bush, George W.",republican
2004,North Dakota,"Bush, George W.",republican
2004,Ohio,"Bush, George W.",republican
2004,Oklahoma,"Bush, George W.",republican
2004,Oregon,"Bush, George W.",republican
2004,Pennsylvania,"Bush, George W.",republican
2004,Rhode Island,"Bush, George W.",republican
2004,South Carolina,"Bush, George W.",republican
2004,South Dakota,"Bush, George W.",republican
2004,Tennessee,"Bush, George W.",republican
2004,Texas,"Bush, George W.",republican
2004,Utah,"Bush, George W.",republican
2004,Vermont,"Bush, George W.",republican
2004,Virginia,"Bush, George W.",republican
2004,Washington,"Bush, George W.",republican
2004,West Virginia,"Bush, George W.",republican
2004,Wisconsin,"Bush, George W.",republican
2004,Wyoming,"Bush, George W.",republican
2004,Colorado,"Calero, Roger",socialist
2004,Connecticut,"Calero, Roger",socialist
2004,District of Columbia,"Calero, Roger",socialist
2004,Florida,"Calero, Roger",socialist
2004,Iowa,"Calero, Roger",socialist
2004,Louisiana,"Calero, Roger",socialist
2004,Minnesota,"Calero, Roger",socialist
2004,Mississippi,"Calero, Roger",socialist
2004,New York,"Calero, Roger",socialist
2004,Utah,"Calero, Roger",socialist
2004,Vermont,"Calero, Roger",socialist
2004,Washington,"Calero, Roger",socialist
2008,Delaware,"Calero, Roger",socialist
2008,Florida,"Calero, Roger",socialist workers
2008,Minnesota,"Calero, Roger",socialist workers
2008,New Jersey,"Calero, Roger",socialist workers
2008,Vermont,"Calero, Roger",socialist workers
1976,Arizona,"Camejo, Peter",socialist workers
1976,California,"Camejo, Peter",socialist workers
1976,Colorado,"Camejo, Peter",socialist workers
1976,Illinois,"Camejo, Peter",socialist workers
1976,Indiana,"Camejo, Peter",socialist workers
1976,Iowa,"Camejo, Peter",socialist workers
1976,Kentucky,"Camejo, Peter",socialist workers
1976,Louisiana,"Camejo, Peter",socialist workers
1976,Massachusetts,"Camejo, Peter",socialist workers
1976,Michigan,"Camejo, Peter",socialist workers
1976,Minnesota,"Camejo, Peter",socialist workers
1976,Mississippi,"Camejo, Peter",socialist workers
1976,New Hampshire,"Camejo, Peter",socialist workers
1976,New Jersey,"Camejo, Peter",socialist workers
1976,New Mexico,"Camejo, Peter",socialist workers
1976,New York,"Camejo, Peter",socialist workers
1976,North Dakota,"Camejo, Peter",socialist workers
1976,Ohio,"Camejo, Peter",socialist workers
1976,Pennsylvania,"Camejo, Peter",socialist workers
1976,Rhode Island,"Camejo, Peter",socialist workers
1976,South Dakota,"Camejo, Peter",socialist workers
1976,Texas,"Camejo, Peter",socialist workers
1976,Utah,"Camejo, Peter",socialist workers
1976,Vermont,"Camejo, Peter",socialist workers
1976,Virginia,"Camejo, Peter",socialist workers
1976,Washington,"Camejo, Peter",socialist workers
1976,Wisconsin,"Camejo, Peter",socialist workers
2012,Minnesota,"Carlson, Jim",grassroots
1976,Alabama,"Carter, Jimmy",democrat
1976,Alaska,"Carter, Jimmy",democrat
1976,Arizona,"Carter, Jimmy",democrat
1976,Arkansas,"Carter, Jimmy",democrat
1976,California,"Carter, Jimmy",democrat
1976,Colorado,"Carter, Jimmy",democrat
1976,Connecticut,"Carter, Jimmy",democrat
1976,Delaware,"Carter, Jimmy",democrat
1976,District of Columbia,"Carter, Jimmy",democrat
1976,Florida,"Carter, Jimmy",democrat
1976,Georgia,"Carter, Jimmy",democrat
1976,Hawaii,"Carter, Jimmy",democrat
1976,Idaho,"Carter, Jimmy",democrat
1976,Illinois,"Carter, Jimmy",democrat
1976,Indiana,"Carter, Jimmy",democrat
1976,Iowa,"Carter, Jimmy",democrat
1976,Kansas,"Carter, Jimmy",democrat
1976,Kentucky,"Carter, Jimmy",democrat
1976,Louisiana,"Carter, Jimmy",democrat
1976,Maine,"Carter, Jimmy",democrat
1976,Maryland,"Carter, Jimmy",democrat
1976,Massachusetts,"Carter, Jimmy",democrat
1976,Michigan,"Carter, Jimmy",democrat
1976,Minnesota,"Carter, Jimmy",democrat
1976,Mississippi,"Carter, Jimmy",democrat
1976,Missouri,"Carter, Jimmy",democrat
1976,Montana,"Carter, Jimmy",democrat
1976,Nebraska,"Carter, Jimmy",democrat
1976,Nevada,"Carter, Jimmy",democrat
1976,New Hampshire,"Carter, Jimmy",democrat
1976,New Jersey,"Carter, Jimmy",democrat
1976,New Mexico,"Carter, Jimmy",democrat
1976,New York,"Carter, Jimmy",democrat
1976,New York,"Carter, Jimmy",democrat
1976,North Carolina,"Carter, Jimmy",democrat
1976,North Dakota,"Carter, Jimmy",democrat
1976,Ohio,"Carter, Jimmy",democrat
1976,Oklahoma,"Carter, Jimmy",democrat
1976,Oregon,"Carter, Jimmy",democrat
1976,Pennsylvania,"Carter, Jimmy",democrat
1976,Rhode Island,"Carter, Jimmy",democrat
1976,South Carolina,"Carter, Jimmy",democrat
1976,South Dakota,"Carter, Jimmy",democrat
1976,Tennessee,"Carter, Jimmy",democrat
1976,Texas,"Carter, Jimmy",democrat
1976,Utah,"Carter, Jimmy",democrat
1976,Vermont,"Carter, Jimmy",democrat
1976,Virginia,"Carter, Jimmy",democrat
1976,Washington,"Carter, Jimmy",democrat
1976,West Virginia,"Carter, Jimmy",democrat
1976,Wisconsin,"Carter, Jimmy",democrat
1976,Wyoming,"Carter, Jimmy",democrat
1980,Alabama,"Carter, Jimmy",democrat
1980,Alaska,"Carter, Jimmy",democrat
1980,Arizona,"Carter, Jimmy",democrat
1980,Arkansas,"Carter, Jimmy",democrat
1980,California,"Carter, Jimmy",democrat
1980,Colorado,"Carter, Jimmy",democrat
1980,Connecticut,"Carter, Jimmy",democrat
1980,Delaware,"Carter, Jimmy",democrat
1980,District of Columbia,"Carter, Jimmy",democrat
1980,Florida,"Carter, Jimmy",democrat
1980,Georgia,"Carter, Jimmy",democrat
1980,Hawaii,"Carter, Jimmy",democrat
1980,Idaho,"Carter, Jimmy",democrat
1980,Illinois,"Carter, Jimmy",democrat
1980,Indiana,"Carter, Jimmy",democrat
1980,Iowa,"Carter, Jimmy",democrat
1980,Kansas,"Carter, Jimmy",democrat
1980,Kentucky,"Carter, Jimmy",democrat
1980,Louisiana,"Carter, Jimmy",democrat
1980,Maine,"Carter, Jimmy",democrat
1980,Maryland,"Carter, Jimmy",democrat
1980,Massachusetts,"Carter, Jimmy",democrat
1980,Michigan,"Carter, Jimmy",democrat
1980,Minnesota,"Carter, Jimmy",democrat
1980,Mississippi,"Carter, Jimmy",democrat
1980,Missouri,"Carter, Jimmy",democrat
1980,Montana,"Carter, Jimmy",democrat
1980,Nebraska,"Carter, Jimmy",democrat
1980,Nevada,"Carter, Jimmy",democrat
1980,New Hampshire,"Carter, Jimmy",democrat
1980,New Jersey,"Carter, Jimmy",democrat
1980,New Mexico,"Carter, Jimmy",democrat
1980,New York,"Carter, Jimmy",democrat
1980,North Carolina,"Carter, Jimmy",democrat
1980,North Dakota,"Carter, Jimmy",democrat
1980,Ohio,"Carter, Jimmy",democrat
1980,Oklahoma,"Carter, Jimmy",democrat
1980,Oregon,"Carter, Jimmy",democrat
1980,Pennsylvania,"Carter, Jimmy",democrat
1980,Rhode Island,"Carter, Jimmy",democrat
1980,South Carolina,"Carter, Jimmy",democrat
1980,South Dakota,"Carter, Jimmy",democrat
1980,Tennessee,"Carter, Jimmy",democrat
1980,Texas,"Carter, Jimmy",democrat
1980,Utah,"Carter, Jimmy",democrat
1980,Vermont,"Carter, Jimmy",democrat
1980,Virginia,"Carter, Jimmy",democrat
1980,Washington,"Carter, Jimmy",democrat
1980,West Virginia,"Carter, Jimmy",democrat
1980,Wisconsin,"Carter, Jimmy",democrat
1980,Wyoming,"Carter, Jimmy",democrat
2016,Alaska,"Castle, Darrell L.",constitution party
2016,Arizona,"Castle, Darrell L.",constitution party
2016,Arkansas,"Castle, Darrell L.",constitution party
2016,Colorado,"Castle, Darrell L.",constitution party
2016,Florida,"Castle, Darrell L.",constitution party
2016,Hawaii,"Castle, Darrell L.",constitution party
2016,Idaho,"Castle, Darrell L.",constitution party
2016,Indiana,"Castle, Darrell L.",constitution party
2016,Iowa,"Castle, Darrell L.",constitution party
2016,Michigan,"Castle, Darrell L.",constitution party
2016,Minnesota,"Castle, Darrell L.",constitution party
2016,Mississippi,"Castle, Darrell L.",constitution party
2016,Missouri,"Castle, Darrell L.",constitution party
2016,New Jersey,"Castle, Darrell L.",constitution party
2016,New Mexico,"Castle, Darrell L.",constitution party
2016,North Dakota,"Castle, Darrell L.",constitution party
2016,Pennsylvania,"Castle, Darrell L.",constitution party
2016,South Carolina,"Castle, Darrell L.",constitution party
2016,South Dakota,"Castle, Darrell L.",constitution party
2016,Utah,"Castle, Darrell L.",constitution party
2016,Washington,"Castle, Darrell L.",constitution party
2016,West Virginia,"Castle, Darrell L.",constitution party
2016,Wisconsin,"Castle, Darrell L.",constitution party
2016,Wyoming,"Castle, Darrell L.",constitution party
2012,Oregon,"Christensen, Will",constitution party
1980,Alabama,"Clark, Edward """"Ed""""",libertarian
1980,Alaska,"Clark, Edward """"Ed""""",libertarian
1980,Arizona,"Clark, Edward """"Ed""""",libertarian
1980,Arkansas,"Clark, Edward """"Ed""""",libertarian
1980,California,"Clark, Edward """"Ed""""",libertarian
1980,Colorado,"Clark, Edward """"Ed""""",libertarian
1980,Connecticut,"Clark, Edward """"Ed""""",libertarian
1980,Delaware,"Clark, Edward """"Ed""""",libertarian
1980,District of Columbia,"Clark, Edward """"Ed""""",libertarian
1980,Florida,"Clark, Edward """"Ed""""",libertarian
1980,Georgia,"Clark, Edward """"Ed""""",libertarian
1980,Hawaii,"Clark, Edward """"Ed""""",libertarian
1980,Idaho,"Clark, Edward """"Ed""""",libertarian
1980,Illinois,"Clark, Edward """"Ed""""",libertarian
1980,Indiana,"Clark, Edward """"Ed""""",libertarian
1980,Iowa,"Clark, Edward """"Ed""""",libertarian
1980,Kansas,"Clark, Edward """"Ed""""",libertarian
1980,Kentucky,"Clark, Edward """"Ed""""",libertarian
1980,Louisiana,"Clark, Edward """"Ed""""",libertarian
1980,Maine,"Clark, Edward """"Ed""""",libertarian
1980,Maryland,"Clark, Edward """"Ed""""",libertarian
1980,Massachusetts,"Clark, Edward """"Ed""""",libertarian
1980,Michigan,"Clark, Edward """"Ed""""",libertarian
1980,Minnesota,"Clark, Edward """"Ed""""",libertarian
1980,Mississippi,"Clark, Edward """"Ed""""",libertarian
1980,Missouri,"Clark, Edward """"Ed""""",libertarian
1980,Montana,"Clark, Edward """"Ed""""",libertarian
1980,Nebraska,"Clark, Edward """"Ed""""",libertarian
1980,Nevada,"Clark, Edward """"Ed""""",libertarian
1980,New Hampshire,"Clark, Edward """"Ed""""",libertarian
1980,New Jersey,"Clark, Edward """"Ed""""",libertarian
1980,New Mexico,"Clark, Edward """"Ed""""",libertarian
1980,New York,"Clark, Edward """"Ed""""",libertarian
1980,North Carolina,"Clark, Edward """"Ed""""",libertarian
1980,North Dakota,"Clark, Edward """"Ed""""",libertarian
1980,Ohio,"Clark, Edward """"Ed""""",libertarian
1980,Oklahoma,"Clark, Edward """"Ed""""",libertarian
1980,Oregon,"Clark, Edward """"Ed""""",libertarian
1980,Pennsylvania,"Clark, Edward """"Ed""""",libertarian
1980,Rhode Island,"Clark, Edward """"Ed""""",libertarian
1980,South Carolina,"Clark, Edward """"Ed""""",libertarian
1980,South Dakota,"Clark, Edward """"Ed""""",libertarian
1980,Tennessee,"Clark, Edward """"Ed""""",libertarian
1980,Texas,"Clark, Edward """"Ed""""",libertarian
1980,Utah,"Clark, Edward """"Ed""""",libertarian
1980,Vermont,"Clark, Edward """"Ed""""",libertarian
1980,Virginia,"Clark, Edward """"Ed""""",libertarian
1980,Washington,"Clark, Edward """"Ed""""",libertarian
1980,West Virginia,"Clark, Edward """"Ed""""",libertarian
1980,Wisconsin,"Clark, Edward """"Ed""""",libertarian
1980,Wyoming,"Clark, Edward """"Ed""""",libertarian
1992,Alabama,"Clinton, Bill",democrat
1992,Alaska,"Clinton, Bill",democrat
1992,Arizona,"Clinton, Bill",democrat
1992,Arkansas,"Clinton, Bill",democrat
1992,California,"Clinton, Bill",democrat
1992,Colorado,"Clinton, Bill",democrat
1992,Connecticut,"Clinton, Bill",democrat
1992,Delaware,"Clinton, Bill",democrat
1992,District of Columbia,"Clinton, Bill",democrat
1992,Florida,"Clinton, Bill",democrat
1992,Georgia,"Clinton, Bill",democrat
1992,Hawaii,"Clinton, Bill",democrat
1992,Idaho,"Clinton, Bill",democrat
1992,Illinois,"Clinton, Bill",democrat
1992,Indiana,"Clinton, Bill",democrat
1992,Iowa,"Clinton, Bill",democrat
1992,Kansas,"Clinton, Bill",democrat
1992,Kentucky,"Clinton, Bill",democrat
1992,Louisiana,"Clinton, Bill",democrat
1992,Maine,"Clinton, Bill",democrat
1992,Maryland,"Clinton, Bill",democrat
1992,Massachusetts,"Clinton, Bill",democrat
1992,Michigan,"Clinton, Bill",democrat
1992,Minnesota,"Clinton, Bill",democrat
1992,Mississippi,"Clinton, Bill",democrat
1992,Missouri,"Clinton, Bill",democrat
1992,Montana,"Clinton, Bill",democrat
1992,Nebraska,"Clinton, Bill",democrat
1992,Nevada,"Clinton, Bill",democrat
1992,New Hampshire,"Clinton, Bill",democrat
1992,New Jersey,"Clinton, Bill",democrat
1992,New Mexico,"Clinton, Bill",democrat
1992,New York,"Clinton, Bill",democrat
1992,New York,"Clinton, Bill",democrat
1992,North Carolina,"Clinton, Bill",democrat
1992,North Dakota,"Clinton, Bill",democrat
1992,Ohio,"Clinton, Bill",democrat
1992,Oklahoma,"Clinton, Bill",democrat
1992,Oregon,"Clinton, Bill",democrat
1992,Pennsylvania,"Clinton, Bill",democrat
1992,Rhode Island,"Clinton, Bill",democrat
1992,South Carolina,"Clinton, Bill",democrat
1992,South Dakota,"Clinton, Bill",democrat
1992,Tennessee,"Clinton, Bill",democrat
1992,Texas,"Clinton, Bill",democrat
1992,Utah,"Clinton, Bill",democrat
1992,Vermont,"Clinton, Bill",democrat
1992,Virginia,"Clinton, Bill",democrat
1992,Washington,"Clinton, Bill",democrat
1992,West Virginia,"Clinton, Bill",democrat
1992,Wisconsin,"Clinton, Bill",democrat
1992,Wyoming,"Clinton, Bill",democrat
1996,Alabama,"Clinton, Bill",democrat
1996,Alaska,"Clinton, Bill",democrat
1996,Arizona,"Clinton, Bill",democrat
1996,Arkansas,"Clinton, Bill",democrat
1996,California,"Clinton, Bill",democrat
1996,Colorado,"Clinton, Bill",democrat
1996,Connecticut,"Clinton, Bill",democrat
1996,Delaware,"Clinton, Bill",democrat
1996,District of Columbia,"Clinton, Bill",democrat
1996,Florida,"Clinton, Bill",democrat
1996,Georgia,"Clinton, Bill",democrat
1996,Hawaii,"Clinton, Bill",democrat
1996,Idaho,"Clinton, Bill",democrat
1996,Illinois,"Clinton, Bill",democrat
1996,Indiana,"Clinton, Bill",democrat
1996,Iowa,"Clinton, Bill",democrat
1996,Kansas,"Clinton, Bill",democrat
1996,Kentucky,"Clinton, Bill",democrat
1996,Louisiana,"Clinton, Bill",democrat
1996,Maine,"Clinton, Bill",democrat
1996,Maryland,"Clinton, Bill",democrat
1996,Massachusetts,"Clinton, Bill",democrat
1996,Michigan,"Clinton, Bill",democrat
1996,Minnesota,"Clinton, Bill",democrat
1996,Mississippi,"Clinton, Bill",democrat
1996,Missouri,"Clinton, Bill",democrat
1996,Montana,"Clinton, Bill",democrat
1996,Nebraska,"Clinton, Bill",democrat
1996,Nevada,"Clinton, Bill",democrat
1996,New Hampshire,"Clinton, Bill",democrat
1996,New Jersey,"Clinton, Bill",democrat
1996,New Mexico,"Clinton, Bill",democrat
1996,New York,"Clinton, Bill",democrat
1996,New York,"Clinton, Bill",democrat
1996,North Carolina,"Clinton, Bill",democrat
1996,North Dakota,"Clinton, Bill",democrat
1996,Ohio,"Clinton, Bill",democrat
1996,Oklahoma,"Clinton, Bill",democrat
1996,Oregon,"Clinton, Bill",democrat
1996,Pennsylvania,"Clinton, Bill",democrat
1996,Rhode Island,"Clinton, Bill",democrat
1996,South Carolina,"Clinton, Bill",democrat
1996,South Dakota,"Clinton, Bill",democrat
1996,Tennessee,"Clinton, Bill",democrat
1996,Texas,"Clinton, Bill",democrat
1996,Utah,"Clinton, Bill",democrat
1996,Vermont,"Clinton, Bill",democrat
1996,Virginia,"Clinton, Bill",democrat
1996,Washington,"Clinton, Bill",democrat
1996,West Virginia,"Clinton, Bill",democrat
1996,Wisconsin,"Clinton, Bill",democrat
1996,Wyoming,"Clinton, Bill",democrat
2016,Alabama,"Clinton, Hillary",democrat
2016,Alaska,"Clinton, Hillary",democrat
2016,Arizona,"Clinton, Hillary",democrat
2016,Arkansas,"Clinton, Hillary",democrat
2016,California,"Clinton, Hillary",democrat
2016,Colorado,"Clinton, Hillary",democrat
2016,Connecticut,"Clinton, Hillary",democrat
2016,Delaware,"Clinton, Hillary",democrat
2016,District of Columbia,"Clinton, Hillary",democrat
2016,Florida,"Clinton, Hillary",democrat
2016,Georgia,"Clinton, Hillary",democrat
2016,Hawaii,"Clinton, Hillary",democrat
2016,Idaho,"Clinton, Hillary",democrat
2016,Illinois,"Clinton, Hillary",democrat
2016,Indiana,"Clinton, Hillary",democrat
2016,Iowa,"Clinton, Hillary",democrat
2016,Kansas,"Clinton, Hillary",democrat
2016,Kentucky,"Clinton, Hillary",democrat
2016,Louisiana,"Clinton, Hillary",democrat
2016,Maine,"Clinton, Hillary",democrat
2016,Maryland,"Clinton, Hillary",democrat
2016,Massachusetts,"Clinton, Hillary",democrat
2016,Michigan,"Clinton, Hillary",democrat
2016,Minnesota,"Clinton, Hillary",democrat
2016,Mississippi,"Clinton, Hillary",democrat
2016,Missouri,"Clinton, Hillary",democrat
2016,Montana,"Clinton, Hillary",democrat
2016,Nebraska,"Clinton, Hillary",democrat
2016,Nevada,"Clinton, Hillary",democrat
2016,New Hampshire,"Clinton, Hillary",democrat
2016,New Jersey,"Clinton, Hillary",democrat
2016,New Mexico,"Clinton, Hillary",democrat
2016,New York,"Clinton, Hillary",democrat
2016,New York,"Clinton, Hillary",democrat
2016,New York,"Clinton, Hillary",democrat
2016,North Carolina,"Clinton, Hillary",democrat
2016,North Dakota,"Clinton, Hillary",democrat
2016,Ohio,"Clinton, Hillary",democrat
2016,Oklahoma,"Clinton, Hillary",democrat
2016,Oregon,"Clinton, Hillary",democrat
2016,Pennsylvania,"Clinton, Hillary",democrat
2016,Rhode Island,"Clinton, Hillary",democrat
2016,South Carolina,"Clinton, Hillary",democrat
2016,South Dakota,"Clinton, Hillary",democrat
2016,Tennessee,"Clinton, Hillary",democrat
2016,Texas,"Clinton, Hillary",democrat
2016,Utah,"Clinton, Hillary",democrat
2016,Vermont,"Clinton, Hillary",democrat
2016,Virginia,"Clinton, Hillary",democrat
2016,Washington,"Clinton, Hillary",democrat
2016,West Virginia,"Clinton, Hillary",democrat
2016,Wisconsin,"Clinton, Hillary",democrat
2016,Wyoming,"Clinton, Hillary",democrat
2004,Alaska,"Cobb, David",green
2004,Arkansas,"Cobb, David",green
2004,California,"Cobb, David",green
2004,Colorado,"Cobb, David",green
2004,Connecticut,"Cobb, David",green
2004,Delaware,"Cobb, David",green
2004,District of Columbia,"Cobb, David",green
2004,Florida,"Cobb, David",green
2004,Hawaii,"Cobb, David",green
2004,Iowa,"Cobb, David",green
2004,Louisiana,"Cobb, David",green
2004,Maine,"Cobb, David",green
2004,Maryland,"Cobb, David",green
2004,Massachusetts,"Cobb, David",green
2004,Michigan,"Cobb, David",green
2004,Minnesota,"Cobb, David",green
2004,Mississippi,"Cobb, David",green
2004,Montana,"Cobb, David",green
2004,Nebraska,"Cobb, David",green
2004,Nevada,"Cobb, David",green
2004,New Mexico,"Cobb, David",green
2004,Oregon,"Cobb, David",green
2004,Pennsylvania,"Cobb, David",green
2004,Rhode Island,"Cobb, David",green
2004,South Carolina,"Cobb, David",green
2004,Washington,"Cobb, David",green
2004,West Virginia,"Cobb, David",green
2004,Wisconsin,"Cobb, David",green
1996,Arkansas,"Collins, Charles",independent
1996,Colorado,"Collins, Charles",independent
1980,Alabama,"Commoner, Barry",citizens
1980,Arizona,"Commoner, Barry",citizens
1980,Arkansas,"Commoner, Barry",citizens
1980,California,"Commoner, Barry",citizens
1980,Colorado,"Commoner, Barry",citizens
1980,Connecticut,"Commoner, Barry",citizens
1980,District of Columbia,"Commoner, Barry",citizens
1980,Hawaii,"Commoner, Barry",citizens
1980,Illinois,"Commoner, Barry",citizens
1980,Indiana,"Commoner, Barry",citizens
1980,Iowa,"Commoner, Barry",citizens
1980,Kentucky,"Commoner, Barry",citizens
1980,Louisiana,"Commoner, Barry",citizens
1980,Maine,"Commoner, Barry",citizens
1980,Massachusetts,"Commoner, Barry",citizens
1980,Michigan,"Commoner, Barry",citizens
1980,Minnesota,"Commoner, Barry",citizens
1980,New Hampshire,"Commoner, Barry",citizens
1980,New Jersey,"Commoner, Barry",citizens
1980,New Mexico,"Commoner, Barry",citizens
1980,New York,"Commoner, Barry",citizens
1980,North Carolina,"Commoner, Barry",citizens
1980,Ohio,"Commoner, Barry",citizens
1980,Oregon,"Commoner, Barry",citizens
1980,Pennsylvania,"Commoner, Barry",citizens
1980,Tennessee,"Commoner, Barry",citizens
1980,Utah,"Commoner, Barry",citizens
1980,Vermont,"Commoner, Barry",citizens
1980,Virginia,"Commoner, Barry",citizens
1980,Washington,"Commoner, Barry",citizens
1980,Wisconsin,"Commoner, Barry",citizens
1980,Ohio,"Congress, Richard",socialist workers
1996,Utah,"Crane, Peter",independent
1992,California,"Daniels, Ron",peace & freedom
1992,New Jersey,"Daniels, Ron",peace & freedom
1992,Utah,"Daniels, Ron",peace & freedom
1992,Wisconsin,"Daniels, Ron",peace & freedom
1992,District of Columbia,"Daniels, Ronald",independent
2016,Alaska,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Arizona,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Colorado,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Florida,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Kentucky,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Minnesota,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Mississippi,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Montana,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Nevada,"De La Fuente, Roque """"Rocky""""",no party affiliation
2016,New Hampshire,"De La Fuente, Roque """"Rocky""""",american delta party
2016,New Jersey,"De La Fuente, Roque """"Rocky""""",american delta party
2016,New Mexico,"De La Fuente, Roque """"Rocky""""",american delta party
2016,North Dakota,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Rhode Island,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Vermont,"De La Fuente, Roque """"Rocky""""",american delta party
2016,Wisconsin,"De La Fuente, Roque """"Rocky""""",american delta party
1980,Alabama,"Deberry, Clifton",socialist workers
1980,Arizona,"Deberry, Clifton",socialist workers
1980,District of Columbia,"Deberry, Clifton",socialist workers
1980,Illinois,"Deberry, Clifton",socialist workers
1980,Indiana,"Deberry, Clifton",socialist workers
1980,Iowa,"Deberry, Clifton",socialist workers
1980,Louisiana,"Deberry, Clifton",socialist workers
1980,Massachusetts,"Deberry, Clifton",socialist workers
1980,Minnesota,"Deberry, Clifton",socialist workers
1980,Missouri,"Deberry, Clifton",socialist workers
1980,New Hampshire,"Deberry, Clifton",socialist workers
1980,New York,"Deberry, Clifton",socialist workers
1980,North Carolina,"Deberry, Clifton",socialist workers
1980,North Dakota,"Deberry, Clifton",socialist workers
1980,Pennsylvania,"Deberry, Clifton",socialist workers
1980,Rhode Island,"Deberry, Clifton",socialist workers
1980,Tennessee,"Deberry, Clifton",socialist workers
1980,Utah,"Deberry, Clifton",socialist workers
1980,Vermont,"Deberry, Clifton",socialist workers
1980,Virginia,"Deberry, Clifton",socialist workers
1980,Washington,"Deberry, Clifton",socialist workers
1980,Wisconsin,"Deberry, Clifton",socialist workers
2000,Vermont,"Dennis """"Denny"""", Lane",vermont grassroots
1984,Delaware,"Dennis, Delmar",american
1984,Indiana,"Dennis, Delmar",american
1984,Kentucky,"Dennis, Delmar",american
1984,South Carolina,"Dennis, Delmar",american
1984,Utah,"Dennis, Delmar",american
1988,Minnesota,"Dennis, Delmar",american
1988,Utah,"Dennis, Delmar",american
1984,Arkansas,"Dodge, Earl",prohibition
1984,Colorado,"Dodge, Earl",prohibition
1984,Kansas,"Dodge, Earl",prohibition
1984,New Mexico,"Dodge, Earl",prohibition
1984,North Dakota,"Dodge, Earl",prohibition
1988,Arkansas,"Dodge, Earl",prohibition
1988,Arkansas,"Dodge, Earl",prohibition
1988,Colorado,"Dodge, Earl",prohibition
1988,New Mexico,"Dodge, Earl",prohibition
