,year,state,candidate,party,totalvotes,Eligible_voting_pop,electoralvotes,candidatevotes,state_won_flag,percent_won
76,1976,Iowa,Other,socialist labor,1279303,0.0,8.0,160,0,0.01
77,1976,Iowa,Other,u.s. labor,1279303,0.0,8.0,241,0,0.02
78,1976,Iowa,Other,libertarian,1279303,0.0,8.0,1454,0,0.11
79,1976,Iowa,Other,independent,1279303,0.0,8.0,20057,0,1.57
80,1976,Iowa,Other,unknown,1279303,0.0,8.0,509,0,0.04
81,1976,Iowa,Other,socialist,1279303,0.0,8.0,233,0,0.02
82,1976,Kansas,Other,constitution party,957845,0.0,7.0,4724,0,0.49
83,1976,Kansas,Other,prohibition,957845,0.0,7.0,1403,0,0.15
84,1976,Kansas,"Carter, Jimmy",democrat,957845,0.0,7.0,430421,0,44.94
85,1976,Kansas,"Ford, Gerald",republican,957845,0.0,7.0,502752,1,52.49
86,1976,Kansas,Other,libertarian,957845,0.0,7.0,3242,0,0.34
87,1976,Kansas,Other,american independent party,957845,0.0,7.0,2118,0,0.22
88,1976,Kansas,Other,independent,957845,0.0,7.0,13185,0,1.38
89,1976,Kentucky,Other,constitution party,1167142,0.0,9.0,8308,0,0.71
90,1976,Kentucky,Other,socialist workers,1167142,0.0,9.0,350,0,0.03
91,1976,Kentucky,"Carter, Jimmy",democrat,1167142,0.0,9.0,615717,1,52.75
92,1976,Kentucky,"Ford, Gerald",republican,1167142,0.0,9.0,531852,0,45.57
93,1976,Kentucky,Other,communist party use,1167142,0.0,9.0,426,0,0.04
94,1976,Kentucky,Other,u.s. labor,1167142,0.0,9.0,510,0,0.04
95,1976,Kentucky,Other,libertarian,1167142,0.0,9.0,814,0,0.07
96,1976,Kentucky,Other,american independent party,1167142,0.0,9.0,2328,0,0.2
97,1976,Kentucky,Other,independent,1167142,0.0,9.0,6837,0,0.59
98,1976,Louisiana,Other,socialist workers,1277383,0.0,10.0,1473,0,0.12
99,1976,Louisiana,"Carter, Jimmy",democrat,1277383,0.0,10.0,661365,1,51.77
100,1976,Louisiana,"Ford, Gerald",republican,1277383,0.0,10.0,587446,0,45.99
101,1976,Louisiana,Other,communist party use,1277383,0.0,10.0,7417,0,0.58
102,1976,Louisiana,Other,libertarian,1277383,0.0,10.0,3134,0,0.25
103,1976,Louisiana,Other,american independent party,1277383,0.0,10.0,10058,0,0.79
104,1976,Louisiana,Other,independent,1277383,0.0,10.0,6490,0,0.51
105,1976,Maine,Other,prohibition,482968,0.0,4.0,3495,0,0.72
106,1976,Maine,"Carter, Jimmy",democrat,482968,0.0,4.0,232279,0,48.09
107,1976,Maine,"Ford, Gerald",republican,482968,0.0,4.0,236320,1,48.93
108,1976,Maine,Other,independent,482968,0.0,4.0,10874,0,2.25
109,1976,Maryland,"Carter, Jimmy",democrat,1432273,0.0,10.0,759612,1,53.04
110,1976,Maryland,"Ford, Gerald",republican,1432273,0.0,10.0,672661,0,46.96
111,1976,Massachusetts,Other,constitution party,2547558,0.0,14.0,7555,0,0.3
112,1976,Massachusetts,Other,socialist workers,2547558,0.0,14.0,8138,0,0.32
113,1976,Massachusetts,"Carter, Jimmy",democrat,2547558,0.0,14.0,1429475,1,56.11
114,1976,Massachusetts,"Ford, Gerald",republican,2547558,0.0,14.0,1030276,0,40.44
115,1976,Massachusetts,Other,socialist labor,2547558,0.0,14.0,19,0,0.0
116,1976,Massachusetts,Other,u.s. labor,2547558,0.0,14.0,4922,0,0.19
117,1976,Massachusetts,Other,libertarian,2547558,0.0,14.0,135,0,0.01
118,1976,Massachusetts,Other,independent,2547558,0.0,14.0,65637,0,2.58
119,1976,Massachusetts,Other,unknown,2547558,0.0,14.0,1401,0,0.05
120,1976,Michigan,Other,socialist workers,3651590,0.0,21.0,1804,0,0.05
121,1976,Michigan,"Carter, Jimmy",democrat,3651590,0.0,21.0,1696714,0,46.47
122,1976,Michigan,"Ford, Gerald",republican,3651590,0.0,21.0,1893742,1,51.86
123,1976,Michigan,Other,socialist labor,3651590,0.0,21.0,1148,0,0.03
124,1976,Michigan,Other,u.s. labor,3651590,0.0,21.0,1366,0,0.04
125,1976,Michigan,Other,libertarian,3651590,0.0,21.0,5407,0,0.15
126,1976,Michigan,Other,independent,3651590,0.0,21.0,47905,0,1.31
127,1976,Michigan,Other,peace & freedom,3651590,0.0,21.0,3504,0,0.1
128,1976,Minnesota,Other,constitution party,1949931,0.0,10.0,13592,0,0.7
129,1976,Minnesota,Other,socialist workers,1949931,0.0,10.0,4149,0,0.21
130,1976,Minnesota,"Carter, Jimmy",democrat,1949931,0.0,10.0,1070440,1,54.9
131,1976,Minnesota,"Ford, Gerald",republican,1949931,0.0,10.0,819395,0,42.02
132,1976,Minnesota,Other,communist party use,1949931,0.0,10.0,1092,0,0.06
133,1976,Minnesota,Other,socialist labor,1949931,0.0,10.0,370,0,0.02
134,1976,Minnesota,Other,u.s. labor,1949931,0.0,10.0,543,0,0.03
135,1976,Minnesota,Other,libertarian,1949931,0.0,10.0,3529,0,0.18
136,1976,Minnesota,Other,independent,1949931,0.0,10.0,35490,0,1.82
137,1976,Minnesota,Other,peace & freedom,1949931,0.0,10.0,635,0,0.03
138,1976,Minnesota,Other,socialist,1949931,0.0,10.0,354,0,0.02
139,1976,Mississippi,Other,constitution party,768390,0.0,7.0,6678,0,0.87
140,1976,Mississippi,Other,socialist workers,768390,0.0,7.0,2805,0,0.37
141,1976,Mississippi,"Carter, Jimmy",democrat,768390,0.0,7.0,381329,1,49.63
142,1976,Mississippi,"Ford, Gerald",republican,768390,0.0,7.0,366846,0,47.74
143,1976,Mississippi,Other,libertarian,768390,0.0,7.0,2609,0,0.34
144,1976,Mississippi,Other,american independent party,768390,0.0,7.0,4049,0,0.53
145,1976,Mississippi,Other,independent,768390,0.0,7.0,4074,0,0.53
146,1976,Missouri,"Carter, Jimmy",democrat,1953600,0.0,12.0,998387,1,51.1
147,1976,Missouri,"Ford, Gerald",republican,1953600,0.0,12.0,927443,0,47.47
148,1976,Missouri,Other,independent,1953600,0.0,12.0,24029,0,1.23
149,1976,Missouri,Other,unknown,1953600,0.0,12.0,3741,0,0.19
150,1976,Montana,Other,constitution party,328734,0.0,4.0,5772,0,1.76
151,1976,Montana,"Carter, Jimmy",democrat,328734,0.0,4.0,149259,0,45.4
152,1976,Montana,"Ford, Gerald",republican,328734,0.0,4.0,173703,1,52.84
153,1976,Nebraska,"Carter, Jimmy",democrat,606749,0.0,5.0,233293,0,38.45
154,1976,Nebraska,"Ford, Gerald",republican,606749,0.0,5.0,359219,1,59.2
155,1976,Nebraska,Other,libertarian,606749,0.0,5.0,1476,0,0.24
156,1976,Nebraska,Other,american independent party,606749,0.0,5.0,3378,0,0.56
157,1976,Nebraska,Other,independent,606749,0.0,5.0,9383,0,1.55
158,1976,Nevada,"Carter, Jimmy",democrat,201876,0.0,3.0,92479,0,45.81
159,1976,Nevada,"Ford, Gerald",republican,201876,0.0,3.0,101273,1,50.17
160,1976,Nevada,Other,libertarian,201876,0.0,3.0,1519,0,0.75
161,1976,Nevada,Other,american independent party,201876,0.0,3.0,1497,0,0.74
162,1976,Nevada,Other,unknown,201876,0.0,3.0,5108,0,2.53
163,1976,New Hampshire,Other,socialist workers,339627,0.0,4.0,161,0,0.05
164,1976,New Hampshire,"Carter, Jimmy",democrat,339627,0.0,4.0,147645,0,43.47
165,1976,New Hampshire,"Ford, Gerald",republican,339627,0.0,4.0,185935,1,54.75
166,1976,New Hampshire,Other,socialist labor,339627,0.0,4.0,66,0,0.02
167,1976,New Hampshire,Other,u.s. labor,339627,0.0,4.0,186,0,0.05
168,1976,New Hampshire,Other,libertarian,339627,0.0,4.0,936,0,0.28
169,1976,New Hampshire,Other,independent,339627,0.0,4.0,4095,0,1.21
170,1976,New Hampshire,Other,unknown,339627,0.0,4.0,603,0,0.18
171,1976,New Jersey,Other,prohibition,3014472,0.0,17.0,554,0,0.02
172,1976,New Jersey,Other,socialist workers,3014472,0.0,17.0,1184,0,0.04
173,1976,New Jersey,"Carter, Jimmy",democrat,3014472,0.0,17.0,1444653,0,47.92
174,1976,New Jersey,"Ford, Gerald",republican,3014472,0.0,17.0,1509688,1,50.08
175,1976,New Jersey,Other,communist party use,3014472,0.0,17.0,1662,0,0.06
176,1976,New Jersey,Other,socialist labor,3014472,0.0,17.0,3686,0,0.12
177,1976,New Jersey,Other,u.s. labor,3014472,0.0,17.0,1650,0,0.05
178,1976,New Jersey,Other,libertarian,3014472,0.0,17.0,9449,0,0.31
179,1976,New Jersey,Other,american independent party,3014472,0.0,17.0,7716,0,0.26
180,1976,New Jersey,Other,independent,3014472,0.0,17.0,32717,0,1.09
181,1976,New Jersey,Other,peace & freedom,3014472,0.0,17.0,1044,0,0.03
182,1976,New Jersey,Other,socialist,3014472,0.0,17.0,469,0,0.02
183,1976,New Mexico,Other,prohibition,416590,0.0,4.0,211,0,0.05
184,1976,New Mexico,Other,socialist workers,416590,0.0,4.0,2462,0,0.59
185,1976,New Mexico,"Carter, Jimmy",democrat,416590,0.0,4.0,201148,0,48.28
186,1976,New Mexico,"Ford, Gerald",republican,416590,0.0,4.0,211419,1,50.75
187,1976,New Mexico,Other,libertarian,416590,0.0,4.0,1110,0,0.27
188,1976,New Mexico,Other,socialist,416590,0.0,4.0,240,0,0.06
189,1976,New York,Other,socialist workers,6668262,0.0,41.0,6996,0,0.1
190,1976,New York,"Carter, Jimmy",democrat,6668262,0.0,41.0,3389558,1,50.83
191,1976,New York,"Ford, Gerald",republican,6668262,0.0,41.0,3100791,0,46.5
192,1976,New York,Other,communist party use,6668262,0.0,41.0,10270,0,0.15
193,1976,New York,Other,u.s. labor,6668262,0.0,41.0,5413,0,0.08
194,1976,New York,Other,libertarian,6668262,0.0,41.0,12197,0,0.18
